DQ459412	ERCC-00117	1
DQ459413	ERCC-00035	1240
DQ459415	ERCC-00098	2
DQ459418	ERCC-00058	30
DQ459419	ERCC-00028	43
DQ459420	ERCC-00017	0
DQ459421	ERCC-00069	46
DQ459422	ERCC-00112	1880
DQ459424	ERCC-00044	1415
DQ459425	ERCC-00092	3986
DQ459426	ERCC-00061	0
DQ459427	ERCC-00126	94
DQ459429	ERCC-00096	275285
DQ459430	ERCC-00002	180558
DQ459431	ERCC-00031	15
DQ516731	ERCC-00054	0
DQ516739	ERCC-00134	2
DQ516740	ERCC-00051	64
DQ516742	ERCC-00077	6
DQ516748	ERCC-00046	28988
DQ516750	ERCC-00162	452
DQ516752	ERCC-00004	60109
DQ516754	ERCC-00074	118220
DQ516758	ERCC-00097	5
DQ516759	ERCC-00095	1323
DQ516763	ERCC-00060	2120
DQ516773	ERCC-00170	248
DQ516776	ERCC-00168	10
DQ516777	ERCC-00138	0
DQ516778	ERCC-00075	1
DQ516779	ERCC-00164	3
DQ516780	ERCC-00083	1
DQ516782	ERCC-00123	7
DQ516783	ERCC-00042	7377
DQ516784	ERCC-00003	17562
DQ516785	ERCC-00053	346
DQ516786	ERCC-00062	760
DQ516787	ERCC-00043	4527
DQ516790	ERCC-00147	2
DQ516791	ERCC-00086	1
DQ516795	ERCC-00158	5
DQ516796	ERCC-00033	38
DQ516815	ERCC-00104	3
DQ668356	ERCC-00059	73
DQ668358	ERCC-00073	10
DQ668359	ERCC-00163	95
DQ668362	ERCC-00143	23
DQ668363	ERCC-00165	716
DQ668364	ERCC-00009	7810
DQ668365	ERCC-00108	10503
DQ668366	ERCC-00057	0
DQ668367	ERCC-00116	13703
DQ839618	ERCC-00157	143
DQ854991	ERCC-00081	2
DQ854992	ERCC-00120	5
DQ854993	ERCC-00024	0
DQ854994	ERCC-00171	20274
DQ854995	ERCC-00144	120
DQ854997	ERCC-00154	17
DQ854998	ERCC-00109	3
DQ855000	ERCC-00137	2
DQ855001	ERCC-00034	203
DQ855003	ERCC-00131	1524
DQ855004	ERCC-00022	1468
DQ875385	ERCC-00014	75
DQ875386	ERCC-00145	5633
DQ875387	ERCC-00099	183
DQ883642	ERCC-00148	39
DQ883643	ERCC-00156	2
DQ883646	ERCC-00142	0
DQ883650	ERCC-00076	760
DQ883651	ERCC-00019	261
DQ883652	ERCC-00079	422
DQ883653	ERCC-00067	10
DQ883654	ERCC-00071	392
DQ883656	ERCC-00039	27
DQ883658	ERCC-00160	156
DQ883659	ERCC-00150	14
DQ883661	ERCC-00040	12
DQ883663	ERCC-00113	44371
DQ883664	ERCC-00016	0
DQ883669	ERCC-00085	64
DQ883670	ERCC-00012	2
DQ883671	ERCC-00048	1
DQ883673	ERCC-00078	418
DQ883682	ERCC-00084	331
DQ883685	ERCC-00111	4472
DQ883689	ERCC-00025	1535
EF011062	ERCC-00013	7
EF011063	ERCC-00136	14776
EF011069	ERCC-00041	1
EF011072	ERCC-00130	307181
KanR	KanR	303869
Spc	Spc	330
gene-HQ24_RS00080		846
gene-HQ24_RS00100		201
gene-HQ24_RS00290		276
gene-HQ24_RS00405		5
gene-HQ24_RS01025		32
gene-HQ24_RS01030		31
gene-HQ24_RS01045		6
gene-HQ24_RS01095		48
gene-HQ24_RS01100		84
gene-HQ24_RS01105		9
gene-HQ24_RS01110		54
gene-HQ24_RS01170		231
gene-HQ24_RS01200		267
gene-HQ24_RS01245		81
gene-HQ24_RS01275		980
gene-HQ24_RS01305		50
gene-HQ24_RS01310		256
gene-HQ24_RS01315		431
gene-HQ24_RS01335		503
gene-HQ24_RS01355		146
gene-HQ24_RS01360		197
gene-HQ24_RS01370		81
gene-HQ24_RS01415		226
gene-HQ24_RS01420		97
gene-HQ24_RS01435		73
gene-HQ24_RS01445		436
gene-HQ24_RS01460		16
gene-HQ24_RS01525		25
gene-HQ24_RS01540		0
gene-HQ24_RS01545		147
gene-HQ24_RS01555		384
gene-HQ24_RS01560		359
gene-HQ24_RS01605		134
gene-HQ24_RS01670		20
gene-HQ24_RS01690		153
gene-HQ24_RS01695		114
gene-HQ24_RS01850		133
gene-HQ24_RS01865		1028
gene-HQ24_RS01875		52
gene-HQ24_RS01910		356
gene-HQ24_RS01915		384
gene-HQ24_RS01925		959
gene-HQ24_RS02030		337
gene-HQ24_RS02345		176
gene-HQ24_RS02570		137
gene-HQ24_RS02745		10
gene-HQ24_RS02755		20
gene-HQ24_RS02760		19
gene-HQ24_RS02765		2
gene-HQ24_RS02775		368
gene-HQ24_RS02780		62
gene-HQ24_RS02845		470
gene-HQ24_RS02850		245
gene-HQ24_RS02880		63
gene-HQ24_RS02905		393
gene-HQ24_RS03020		884
gene-HQ24_RS03245		1351
gene-HQ24_RS03400		535
gene-HQ24_RS03435		169
gene-HQ24_RS03440		78
gene-HQ24_RS03445		101
gene-HQ24_RS03450		209
gene-HQ24_RS03455		212
gene-HQ24_RS03460		93
gene-HQ24_RS03465		20
gene-HQ24_RS03555		91
gene-HQ24_RS03560		281
gene-HQ24_RS03565		8
gene-HQ24_RS03625		123
gene-HQ24_RS03630		396
gene-HQ24_RS03635		118
gene-HQ24_RS03645		101
gene-HQ24_RS03850		234
gene-HQ24_RS03855		409
gene-HQ24_RS03860		170
gene-HQ24_RS03865		216
gene-HQ24_RS03870		142
gene-HQ24_RS03875		103
gene-HQ24_RS03880		88
gene-HQ24_RS04370		172
gene-HQ24_RS04580		60
gene-HQ24_RS05035		14
gene-HQ24_RS05130		163
gene-HQ24_RS05275		6
gene-HQ24_RS05290		370
gene-HQ24_RS05340		403
gene-HQ24_RS05350		48
gene-HQ24_RS05355		534
gene-HQ24_RS05365		14
gene-HQ24_RS05510		23
gene-HQ24_RS05950		3909
gene-HQ24_RS05960		109
gene-HQ24_RS05990		8
gene-HQ24_RS05995		107
gene-HQ24_RS06030		546
gene-HQ24_RS06115		462
gene-HQ24_RS06220		66
gene-HQ24_RS06225		64
gene-HQ24_RS06230		73
gene-HQ24_RS06305		91
gene-HQ24_RS06310		48
gene-HQ24_RS06350		133
gene-HQ24_RS06550		110
gene-HQ24_RS06610		280
gene-HQ24_RS06795		282
gene-HQ24_RS06840		28
gene-HQ24_RS06870		501
gene-HQ24_RS06950		17
gene-HQ24_RS06990		209
gene-HQ24_RS07010		542
gene-HQ24_RS07025		119
gene-HQ24_RS07030		68
gene-HQ24_RS07200		417
gene-HQ24_RS07205		1089
gene-HQ24_RS07215		228
gene-HQ24_RS07220		10086
gene-HQ24_RS07295		418
gene-HQ24_RS07300		233
gene-HQ24_RS07495		612
gene-HQ24_RS07505		83
gene-HQ24_RS07510		166
gene-HQ24_RS07560		24
gene-HQ24_RS07745		170
gene-HQ24_RS07765		5140
gene-HQ24_RS07985		59
gene-HQ24_RS08035		262
gene-HQ24_RS08040		380
gene-HQ24_RS08065		92
gene-HQ24_RS08085		189
gene-HQ24_RS08110		434
gene-HQ24_RS08210		3
gene-HQ24_RS08565		1
gene-HQ24_RS08570		111
gene-HQ24_RS08855		9
gene-HQ24_RS08900		115
gene-HQ24_RS09205		41
gene-HQ24_RS09770		469
gene-HQ24_RS09845		125
gene-HQ24_RS09850		55
gene-HQ24_RS09855		65
gene-HQ24_RS09975		19
gene-HQ24_RS10175		2
gene-HQ24_RS10185		11
gene-HQ24_RS10195		156
gene-HQ24_RS10215		51
gene-HQ24_RS10225		25
gene-HQ24_RS10240		7
gene-HQ24_RS10270		603
gene-HQ24_RS10280		1034
gene-HQ24_RS10290		155
gene-HQ24_RS10295		307
gene-HQ24_RS10305		162
gene-HQ24_RS10340		24
gene-HQ24_RS10460		473
gene-HQ24_RS10735		138
gene-HQ24_RS10745		84
gene-HQ24_RS10755		363
gene-HQ24_RS10760		174
gene-HQ24_RS10770		1446
gene-HQ24_RS10900		185
gene-HQ24_RS10905		22
gene-HQ24_RS11280		19
gene-HQ24_RS11290		504
gene-HQ24_RS11490		795
gene-HQ24_RS11545		10
gene-HQ24_RS11580		67
gene-HQ24_RS11730		72
gene-HQ24_RS11735		75
gene-HQ24_RS12090		61
gene-HQ24_RS12105		13
gene-HQ24_RS12135		39
gene-HQ24_RS12140		420
gene-HQ24_RS12150		34
gene-HQ24_RS12170		14
gene-HQ24_RS12185		14
gene-HQ24_RS12190		9
gene-HQ24_RS12355		892
gene-HQ24_RS12365		17
gene-HQ24_RS12370		9
gene-HQ24_RS12390		24
gene-HQ24_RS12395		386
gene-HQ24_RS12400		41
gene-HQ24_RS12405		17
gene-HQ24_RS12415		24
gene-HQ24_RS12430		297
gene-HQ24_RS12610		47
gene-HQ24_RS12615		27
gene-HQ24_RS12620		28
gene-HQ24_RS12625		49
gene-HQ24_RS12630		137
gene-HQ24_RS12635		11
gene-HQ24_RS12640		151
gene-HQ24_RS12645		257
gene-HQ24_RS13400		556
gene-HQ24_RS13555		162
gene-HQ24_RS13615		5
gene-HQ24_RS13620		30
gene-HQ24_RS13625		115
gene-HQ24_RS13635		243
gene-HQ24_RS13640		95
gene-HQ24_RS13695		1
gene-HQ24_RS13820		541
gene-HQ24_RS13875		101
gene-HQ24_RS13880		202
gene-HQ24_RS13885		262
gene-HQ24_RS13890		142
gene-HQ24_RS13895		185
gene-HQ24_RS14315		1
gene-HQ24_RS14355		1080
gene-HQ24_RS14520		87
gene-HQ24_RS14525		285
gene-HQ24_RS14530		65
gene-HQ24_RS14700		10
gene-HQ24_RS14705		12
gene-HQ24_RS14710		14
gene-HQ24_RS14725		12
gene-HQ24_RS14730		14
gene-HQ24_RS14735		37
gene-HQ24_RS14760		1061
gene-HQ24_RS14780		116
gene-HQ24_RS14800		2057
gene-HQ24_RS14810		480
gene-HQ24_RS14815		1193
gene-HQ24_RS14820		897
gene-HQ24_RS14835		157
gene-HQ24_RS14840		346
gene-HQ24_RS14845		881
gene-HQ24_RS14850		685
gene-HQ24_RS14870		2700
gene-HQ24_RS14885		3417
gene-HQ24_RS14900		359
gene-HQ24_RS14905		10
gene-HQ24_RS14910		155
gene-HQ24_RS14920		63
gene-HQ24_RS14925		52
gene-HQ24_RS14930		28
gene-HQ24_RS14940		56
gene-HQ24_RS14945		19
gene-HQ24_RS14950		228
gene-HQ24_RS14960		138
gene-HQ24_RS14970		2313
gene-HQ24_RS14985		49
gene-HQ24_RS14990		44
gene-HQ24_RS14995		105
gene-HQ24_RS15000		96
gene-HQ24_RS15035		692
gene-HQ24_RS15040		123
gene-HQ24_RS15045		33
gene-HQ24_RS15080		586
gene-HQ24_RS15095		73
gene-HQ24_RS15110		16
gene-HQ24_RS15130		111
gene-HQ24_RS15135		591
gene-HQ24_RS15150		2037
gene-HQ24_RS15180		330
gene-HQ24_RS15190		369
gene-HQ24_RS15195		37
gene-HQ24_RS15200		901
gene-HQ24_RS15205		9281
gene-HQ24_RS15225		305
gene-HQ24_RS15230		264
gene-HQ24_RS15235		1696
gene-HQ24_RS15240		22
gene-HQ24_RS15245		10
gene-HQ24_RS15250		13
gene-HQ24_RS15255		39
gene-HQ24_RS15265		5
gene-HQ24_RS15275		438
gene-HQ24_RS15300		1109
gene-HQ24_RS15315		806
gene-HQ24_RS15320		44
gene-HQ24_RS15445		4
gene-HQ24_RS15575		28
gene-HQ24_RS15835		11
gene-HQ24_RS15915		492
gene-HQ24_RS15925		93
gene-HQ24_RS16005		2783
gene-HQ24_RS16230		1068
gene-HQ24_RS16235		467
gene-HQ24_RS16365		34
gene-HQ24_RS16560		108
gene-HQ24_RS16615		19
gene-HQ24_RS16675		43
gene-HQ24_RS16680		80
gene-HQ24_RS16865		225
gene-HQ24_RS16880		72
gene-HQ24_RS17095		56
gene-HQ24_RS17105		504
